Name,Overs,Maidens,Runs Given,Wickets Taken,Economy Rate,Dot Balls,Fours hitten,Sixes hitten,Wide Deliveries,No Balls
George Dockrell,3,0,15,1,5.00,9,1,0,1,0
Kemar Roach,8,0,34,1,4.25,31,5,0,0,0
Sulieman Benn,10,0,53,4,5.30,33,7,0,2,0
Daren Sammy,10,3,31,3,3.10,38,2,0,0,0
Andre Russell,10,2,37,1,3.70,41,4,0,0,1
Shafiul Islam,8,0,43,1,5.37,22,4,0,2,0
Rubel Hossain,8.4,0,40,1,4.61,31,4,0,1,0
Naeem Islam,8,0,29,2,3.62,28,2,0,0,0
Abdur Razzak,10,2,32,2,3.20,40,1,0,3,0
Mahmudullah,5,0,30,1,6.00,11,3,0,0,0
Shakib Al Hasan,10,0,49,2,4.90,26,3,0,0,0
Ajmal Shahzad,10,0,43,3,4.30,40,3,0,5,0
Tim Bresnan,10,1,35,1,3.50,43,5,0,1,0
Graeme Swann,10,1,42,2,4.20,39,4,1,2,0
Dale Steyn,9.4,0,50,5,5.17,35,3,1,2,0
Morne Morkel,7,0,59,1,8.42,18,10,0,0,1
Jacques Kallis,8,0,43,1,5.37,22,4,0,1,0
Robin Peterson,9,0,52,2,5.77,20,3,1,2,0
Faf du Plessis,3,0,22,1,7.33,4,2,0,1,0
Zaheer Khan,10,0,43,1,4.30,35,4,1,0,0
Munaf Patel,10,0,65,2,6.50,21,6,1,0,0
Harbhajan Singh,9,0,53,3,5.88,19,3,1,1,0
Harvir Baidwan,9.1,0,84,3,9.16,27,8,5,1,0
Balaji Rao,10,0,62,2,6.20,27,6,1,1,0
John Davison,10,1,30,1,3.00,35,1,0,0,0
Kyle Mills,2.4,1,2,2,0.75,15,0,0,0,0
Tim Southee,10,1,36,1,3.60,43,6,0,1,0
Jesse Ryder,1.2,0,15,1,11.25,3,3,0,1,0
Jacob Oram,10,1,47,3,4.70,35,6,0,1,0
Nathan McCullum,8,0,56,1,7.00,16,3,2,0,0
Nehemiah Odhiambo,10,1,57,3,5.70,34,8,0,2,0
Jimmy Kamande,10,0,46,2,4.60,30,3,0,2,0
Collins Obuya,4,0,33,1,8.25,3,2,0,1,1
Brett Lee,8,1,26,1,3.25,32,3,0,0,0
Shaun Tait,8,0,49,2,6.12,33,3,2,5,2
Abdur Razzak,10,2,29,3,2.90,41,2,0,0,0
Shakib Al Hasan,8,0,38,1,4.75,29,3,1,0,0
Rubel Hossain,9,0,36,1,4.00,34,2,1,0,0
Sohrawordi Shuvo,10,1,33,1,3.30,37,1,0,0,0
Mudassar Bukhari,6,2,14,1,2.33,31,3,0,0,0
Peter Borren,5,0,28,1,5.60,12,2,0,0,0
Tom Cooper,7.2,2,33,2,4.50,29,3,1,0,0
Abdul Razzaq,7,1,24,1,3.42,30,2,0,1,0
Umar Gul,7.4,1,36,3,4.69,26,4,0,0,1
Wahab Riaz,6,0,21,1,3.50,24,2,0,0,0
Shahid Afridi,8,0,33,1,4.12,29,4,0,0,0
Mohammad Hafeez,3,0,11,1,3.66,7,0,0,0,0
Ray Price,8,1,21,2,2.62,36,2,0,3,0
Prosper Utseya,7,1,24,1,3.42,25,1,0,0,0
Boyd Rankin,10,0,59,1,5.90,26,6,1,1,0
Trent Johnston,10,0,76,1,7.60,28,8,2,1,0
John Mooney,8,0,36,1,4.50,26,4,0,0,0
George Dockrell,10,0,37,1,3.70,32,2,0,0,0
Paul Stirling,10,0,45,1,4.50,28,3,0,1,0
Morne Morkel,5.2,0,33,3,6.18,21,5,1,2,0
Jacques Kallis,6,1,20,2,3.33,23,2,0,0,0
Johan Botha,8,0,32,1,4.00,28,3,0,1,0
Robin Peterson,8,0,32,3,4.00,35,3,2,0,0
Jean-Paul Duminy,2,0,11,1,5.50,5,1,0,0,0
Shaun Tait,8,1,34,2,4.25,32,2,1,4,1
Brett Lee,8.4,0,46,4,5.30,35,6,1,2,0
Mitchell Johnson,10,0,43,1,4.30,42,5,1,3,0
Shane Watson,6,0,22,1,3.66,27,4,0,0,0
Jason Krejza,10,0,44,2,4.40,26,2,0,2,0
Henry Osinde,9.5,0,53,1,5.38,37,9,0,2,0
Harvir Baidwan,10,1,41,1,4.10,36,5,0,0,0
John Davison,4,0,29,1,7.25,8,1,2,0,0
Kemar Roach,9.4,2,34,2,3.51,40,4,0,1,2
Andre Russell,8,0,49,4,6.12,26,6,0,3,0
Devendra Bishoo,10,0,34,3,3.40,33,2,0,0,0
Graeme Swann,10,1,36,3,3.60,41,0,2,1,0
James Tredwell,10,2,48,4,4.80,42,2,4,1,0
Ravi Bopara,8.4,2,22,2,2.53,41,2,1,0,0
Boyd Rankin,9,0,74,1,8.22,24,8,2,3,3
Trent Johnston,10,1,50,1,5.00,36,7,0,0,0
John Mooney,10,0,59,2,5.90,34,9,0,0,0
Paul Stirling,10,0,51,2,5.10,30,3,2,0,0
Ryan ten Doeschate,9,1,58,1,6.44,28,8,0,1,0
Pieter Seelaar,9.4,1,55,1,5.68,28,4,2,0,0
Tom Cooper,7,1,31,2,4.42,26,1,2,0,0
Tim Southee,10,0,63,3,6.30,35,5,2,5,0
Jacob Oram,10,1,57,1,5.70,35,7,1,1,1
Scott Styris,8,0,44,1,5.50,16,2,1,0,0
Nathan McCullum,10,0,48,2,4.80,25,3,0,0,0
Lasith Malinga,5,0,38,1,7.60,15,5,1,3,0
Nuwan Kulasekara,7,0,19,1,2.71,31,2,0,2,0
Angelo Mathews,3,0,19,1,6.33,8,2,0,0,0
Ajantha Mendis,6,0,24,2,4.00,20,2,0,1,0
Tillakaratne Dilshan,6,0,24,1,4.00,14,0,0,0,0
Muthiah Muralidaran,8,0,25,4,3.12,33,2,0,0,1
Rubel Hossain,8,0,56,3,7.00,25,9,0,0,0
Abdur Razzak,10,1,47,1,4.70,31,3,1,1,0
Mahmudullah,10,0,46,1,4.60,23,2,0,1,0
Shakib Al Hasan,10,0,46,2,4.60,26,3,0,0,0
Johan Botha,7,1,23,1,3.28,29,3,0,0,0
Lonwabo Tsotsobe,5,2,14,3,2.80,26,3,0,1,0
Robin Peterson,7,3,12,4,1.71,37,2,0,0,0
Imran Tahir,5,0,20,1,4.00,20,2,0,2,0
Umar Gul,7.4,1,30,3,3.91,32,3,0,1,0
Abdur Rehman,10,0,34,1,3.40,37,1,1,1,0
Shahid Afridi,9,0,34,1,3.77,27,1,0,1,0
Wahab Riaz,6,0,39,1,6.50,17,5,0,3,0
Mohammad Hafeez,10,0,26,1,2.60,36,0,0,0,0
Abdul Razzaq,4,0,8,2,2.00,18,0,0,0,0
Brett Lee,8,1,28,4,3.50,33,4,0,0,0
Mitchell Johnson,9,1,40,1,4.44,33,5,0,1,0
Jason Krejza,10,0,44,1,4.40,35,4,1,0,0
Peter Ongondo,10,0,53,1,5.30,37,7,1,3,0
Elijah Otieno,10,0,61,2,6.10,37,11,1,0,0
Nehemiah Odhiambo,10,1,58,1,5.80,33,4,2,3,0
James Ngoche,10,0,68,1,6.80,29,9,0,1,0
Chris Mpofu,6,0,27,1,4.50,24,4,0,2,0
Ray Price,7,1,20,2,2.85,34,4,0,0,0
Prosper Utseya,9,0,47,1,5.22,29,6,0,0,0
Greg Lamb,7,0,21,2,3.00,28,2,0,0,0
Graeme Cremer,7,0,28,2,4.00,29,1,2,1,0
Ravi Rampaul,10,0,51,5,5.10,29,4,0,1,0
Andre Russell,9.1,1,46,2,5.01,23,3,0,2,0
Daren Sammy,6,0,35,1,5.83,17,1,2,1,0
Devendra Bishoo,10,0,48,1,4.80,29,5,0,0,0
Kieron Pollard,10,0,49,1,4.90,29,4,0,1,0
Ravichandran Ashwin,10,0,41,2,4.10,32,2,1,1,0
Zaheer Khan,6,0,26,3,4.33,22,3,0,2,0
Harbhajan Singh,9,1,35,1,3.88,36,3,1,1,0
Suresh Raina,2,0,12,1,6.00,4,1,0,0,0
Yuvraj Singh,4,0,18,2,4.50,15,1,1,0,0
Umar Gul,7,1,13,1,1.85,35,2,0,0,0
Mohammad Hafeez,10,3,16,2,1.60,50,1,0,2,0
Shahid Afridi,9.3,1,30,4,3.15,34,1,0,1,0
Saeed Ajmal,8,1,18,2,2.25,38,0,1,1,0
Abdul Razzaq,3,1,4,1,1.33,15,0,0,1,0
Ravichandran Ashwin,10,0,52,2,5.20,30,3,2,1,0
Zaheer Khan,10,0,53,2,5.30,27,6,0,0,0
Yuvraj Singh,10,0,44,2,4.40,34,3,1,0,0
Brett Lee,8.4,1,45,1,5.19,31,5,1,3,0
Shaun Tait,7,0,52,1,7.42,19,4,0,6,2
Shane Watson,7,0,37,1,5.28,20,4,0,1,0
David Hussey,5,0,19,1,3.80,17,2,0,0,0
Robin Peterson,9,0,49,1,5.44,26,3,2,0,0
Dale Steyn,10,0,42,2,4.20,38,3,0,2,0
Morne Morkel,8,0,46,3,5.75,29,6,0,0,0
Imran Tahir,9,0,32,2,3.55,29,1,0,1,0
Nathan McCullum,10,1,24,3,2.40,41,1,0,0,0
Tim Southee,9,0,44,1,4.88,25,5,0,0,0
Jacob Oram,9,1,39,4,4.33,35,4,1,0,0
Luke Woodcock,5.2,0,24,1,4.50,16,2,0,1,0
Lasith Malinga,10,0,46,1,4.60,30,3,0,2,0
Tillakaratne Dilshan,6,1,25,1,4.16,19,1,0,1,0
Angelo Mathews,5,0,20,1,4.00,20,2,0,0,0
Ajantha Mendis,10,0,34,1,3.40,29,0,0,0,0
Muthiah Muralidaran,9,0,54,2,6.00,20,3,0,1,0
Lasith Malinga,9,0,55,3,6.11,30,8,0,0,1
Rangana Herath,9,1,31,1,3.44,33,1,1,1,0
Ajantha Mendis,9.5,0,35,3,3.55,35,2,0,0,0
Muthiah Muralidaran,10,1,42,2,4.20,36,2,1,2,0
Tillakaratne Dilshan,5,0,22,1,4.40,12,0,0,1,0
Tim Southee,10,2,57,3,5.70,40,8,1,1,0
Daniel Vettori,10,0,36,1,3.60,37,3,0,0,0
Andy McKay,9.5,1,37,1,3.76,40,4,0,2,0
Wahab Riaz,10,0,46,5,4.60,38,5,0,4,0
Saeed Ajmal,10,0,44,2,4.40,33,4,0,2,0
Mohammad Hafeez,10,0,34,1,3.40,35,2,0,0,0
Zaheer Khan,9.5,0,58,2,5.89,31,6,0,2,0
Ashish Nehra,10,0,33,2,3.30,39,3,0,1,0
Munaf Patel,10,1,40,2,4.00,43,5,1,1,0
Harbhajan Singh,10,0,43,2,4.30,28,3,0,0,0
Yuvraj Singh,10,1,57,2,5.70,27,3,2,0,0
Zaheer Khan,10,3,60,2,6.00,32,6,2,1,0
Harbhajan Singh,10,0,50,1,5.00,24,3,0,1,0
Yuvraj Singh,10,0,49,2,4.90,28,5,0,0,0
Lasith Malinga,9,0,42,2,4.66,31,4,0,2,0
Thisara Perera,9,0,55,1,6.11,27,5,1,2,0
Tillakaratne Dilshan,5,0,27,1,5.40,14,2,0,1,0
