Name,Runs,Balls,Minutes Played,Fours,Sixes,Strike Rate
Tim Bresnan ,1,4,5,0,0,25.00
Graeme Swann ,16,20,28,3,0,80.00
Stuart Broad ,0,3,2,0,0,0.00
James Anderson ,2,6,10,0,0,33.33
Hashim Amla ,42,51,81,2,0,82.35
Graeme Smith (c),22,41,63,2,0,53.65
Jacques Kallis ,15,20,26,3,0,75.00
AB de Villiers ,25,44,56,0,0,56.81
Faf du Plessis ,17,38,52,2,0,44.73
Jean-Paul Duminy ,0,4,12,0,0,0.00
Morne van Wyk †,13,37,67,0,0,35.13
Robin Peterson ,3,16,15,0,0,18.75
Dale Steyn ,20,31,51,3,0,64.51
Morne Morkel ,1,3,10,0,0,33.33
Imran Tahir ,1,1,2,0,0,100.00
William Porterfield (c),75,104,146,6,1,72.11
Paul Stirling ,0,1,2,0,0,0.00
Ed Joyce ,4,5,8,1,0,80.00
Niall O'Brien †,46,78,93,3,0,58.97
Andrew White ,5,10,8,0,0,50.00
Kevin O'Brien ,9,13,14,1,0,69.23
Alex Cusack ,24,30,49,3,0,80.00
John Mooney ,5,17,19,0,0,29.41
Trent Johnston ,17,20,38,2,0,85.00
George Dockrell ,3,10,19,0,0,30.00
Boyd Rankin ,1,1,5,0,0,100.00
Virender Sehwag ,5,3,5,1,0,166.66
Sachin Tendulkar ,38,56,91,4,0,67.85
Gautam Gambhir ,10,15,18,2,0,66.66
Virat Kohli ,34,53,82,3,0,64.15
Yuvraj Singh ,50,75,108,3,0,66.66
MS Dhoni (c)†,34,50,68,2,0,68.00
Yusuf Pathan ,30,24,23,2,3,125.00
Morris Ouma †,0,2,2,0,0,0.00
Seren Waters ,2,13,22,0,0,15.38
Collins Obuya ,31,35,53,3,1,88.57
David Obuya ,2,8,11,0,0,25.00
Steve Tikolo ,12,20,39,1,0,60.00
Tanmay Mishra ,51,73,120,3,0,69.86
Jimmy Kamande (c),22,58,49,3,0,37.93
Thomas Odoyo ,51,62,86,5,1,82.25
Nehemiah Odhiambo ,4,9,8,0,0,44.44
Elijah Otieno ,8,17,20,1,0,47.05
James Ngoche ,1,3,6,0,0,33.33
Ruvindu Gunasekera ,18,27,59,3,0,66.66
Rizwan Cheema ,17,13,18,2,1,130.76
Zubin Surkari ,10,26,29,1,0,38.46
Ashish Bagai (c)†,64,97,150,7,0,65.97
Jimmy Hansra ,70,99,121,7,2,70.70
Tyson Gordon ,3,11,12,0,0,27.27
John Davison ,4,1,4,1,0,400.00
Martin Guptill ,57,86,123,6,0,66.27
Brendon McCullum †,6,3,3,0,1,200.00
Jamie How ,4,29,50,0,0,13.79
Ross Taylor ,131,124,171,8,7,105.64
James Franklin ,1,2,5,0,0,50.00
Scott Styris ,28,37,52,1,0,75.67
Nathan McCullum ,19,10,16,1,2,190.00
Jacob Oram ,25,9,23,1,3,277.77
Kyle Mills ,7,3,2,1,0,233.33
Mohammad Hafeez ,5,6,6,1,0,83.33
Ahmed Shehzad ,10,16,29,1,0,62.50
Kamran Akmal †,8,16,29,1,0,50.00
Younis Khan ,0,3,2,0,0,0.00
Misbah-ul-Haq ,7,31,36,0,0,22.58
Umar Akmal ,38,58,95,3,0,65.51
Shahid Afridi (c),17,9,13,2,1,188.88
Abdul Razzaq ,62,74,108,9,0,83.78
Abdur Rehman ,1,10,20,0,0,10.00
Umar Gul ,34,25,41,3,1,136.00
Shoaib Akhtar ,0,2,2,0,0,0.00
Eric Szwarczynski ,28,42,59,4,0,66.66
Wesley Barresi †,26,58,67,2,0,44.82
Tom Cooper ,29,47,52,2,0,61.70
Ryan ten Doeschate ,11,28,29,1,0,39.28
Alexei Kervezee ,11,23,45,1,0,47.82
Bas Zuiderent ,0,6,10,0,0,0.00
Tom de Grooth ,5,11,14,0,0,45.45
Peter Borren (c),38,36,46,3,2,105.55
Bradley Kruger ,8,12,16,1,0,66.66
Mudassar Bukhari ,21,18,20,1,2,116.66
Pieter Seelaar ,0,0,2,0,0,-
Virender Sehwag ,39,26,36,5,2,150.00
Sachin Tendulkar ,27,22,45,6,0,122.72
